Date/Time (PST),""" (5380') Paradise Wind",""" (5400') Paradise",""" (6410') Sunrise Base",""" (6880') Sunrise Upper",""" (10110') Camp Muir"
12/31/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/30/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0.01,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0,,,
12/29/2015,,0.01,,,
12/29/2015,,0,,,
12/29/2015,,0.02,,,
12/29/2015,,0.04,,,
12/28/2015,,0.06,,,
12/28/2015,,0.08,,,
12/28/2015,,0.06,,,
12/28/2015,,0.05,,,
12/28/2015,,0.03,,,
12/28/2015,,0.02,,,
12/28/2015,,0.03,,,
12/28/2015,,0.02,,,
12/28/2015,,0.02,,,
12/28/2015,,0.04,,,
12/28/2015,,0.02,,,
12/28/2015,,0.03,,,
12/28/2015,,0.02,,,
12/28/2015,,0.03,,,
12/28/2015,,0.03,,,
12/28/2015,,0.04,,,
12/28/2015,,0.04,,,
12/28/2015,,0.05,,,
12/28/2015,,0.04,,,
12/28/2015,,0.04,,,
12/28/2015,,0.05,,,
12/28/2015,,0.05,,,
12/28/2015,,0.02,,,
12/28/2015,,0.03,,,
12/27/2015,,0.03,,,
12/27/2015,,0.03,,,
12/27/2015,,0.03,,,
12/27/2015,,0.03,,,
12/27/2015,,0.06,,,
12/27/2015,,0.04,,,
12/27/2015,,0.01,,,
12/27/2015,,0.02,,,
12/27/2015,,0,,,
12/27/2015,,0.03,,,
12/27/2015,,0.02,,,
12/27/2015,,0.02,,,
12/27/2015,,0.03,,,
12/27/2015,,0.01,,,
12/27/2015,,0.02,,,
12/27/2015,,0.01,,,
12/27/2015,,0,,,
12/27/2015,,0.01,,,
12/27/2015,,0.01,,,
12/27/2015,,0.01,,,
12/27/2015,,0.01,,,
12/27/2015,,0,,,
12/27/2015,,0.01,,,
12/27/2015,,0.01,,,
12/26/2015,,0.02,,,
12/26/2015,,0.01,,,
12/26/2015,,0.02,,,
12/26/2015,,0.01,,,
12/26/2015,,0.01,,,
12/26/2015,,0.01,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0.01,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/26/2015,,0,,,
12/25/2015,,0.01,,,
12/25/2015,,0.01,,,
12/25/2015,,0.02,,,
12/25/2015,,0.01,,,
12/25/2015,,0,,,
12/25/2015,,0.01,,,
12/25/2015,,0,,,
12/25/2015,,0,,,
12/25/2015,,0,,,
12/25/2015,,0.01,,,
