Date/Time (PST),""" (5380') Paradise Wind",""" (5400') Paradise",""" (6410') Sunrise Base",""" (6880') Sunrise Upper",""" (10110') Camp Muir"
12/31/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/30/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/29/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0,0,,
12/28/2014,,0.04,0,,
12/28/2014,,0.03,0,,
12/28/2014,,0.02,0,,
12/28/2014,,0.03,0,,
12/28/2014,,0.02,0,,
12/28/2014,,0.04,0,,
12/28/2014,,0.04,0,,
12/28/2014,,0.05,0,,
12/28/2014,,0.01,0,,
12/28/2014,,0.01,0,,
12/28/2014,,0.11,0,,
12/28/2014,,0.11,0,,
12/27/2014,,0.07,0,,
12/27/2014,,0.1,0,,
12/27/2014,,0.12,0,,
12/27/2014,,0.13,0,,
