Date/Time (PST),""" (5380') Paradise Wind",""" (5400') Paradise",""" (6410') Sunrise Base",""" (6880') Sunrise Upper",""" (10110') Camp Muir"
12/31/2015,,119.2,81.4,,
12/30/2015,,118.6,79.6,,
12/30/2015,,117.5,79.1,,
12/30/2015,,118.1,78.7,,
12/30/2015,,119.9,79.6,,
12/30/2015,,119.7,80.6,,
12/30/2015,,118.9,81.9,,
12/30/2015,,119.1,82.7,,
12/30/2015,,120.1,82.2,,
12/30/2015,,119.6,82.4,,
12/30/2015,,120.7,82.7,,
12/30/2015,,120.9,82.3,,
12/30/2015,,121.2,82.1,,
12/30/2015,,120.9,81.9,,
12/30/2015,,121,82.1,,
12/30/2015,,119.7,82.4,,
12/30/2015,,,,,
12/30/2015,,120.8,82.6,,
12/30/2015,,121,82.5,,
12/30/2015,,120.3,82.6,,
12/30/2015,,121.3,82.5,,
12/30/2015,,121.9,82.7,,
12/30/2015,,122.1,82.9,,
12/30/2015,,122.1,82.9,,
12/30/2015,,121.9,82.9,,
12/30/2015,,121.7,82.5,,
12/29/2015,,120.8,80.8,,
12/29/2015,,121,80.5,,
12/29/2015,,120.1,80,,
12/29/2015,,120.9,81,,
12/29/2015,,121.9,81.9,,
12/29/2015,,122,83.1,,
12/29/2015,,122.4,83.3,,
12/29/2015,,123.2,83.5,,
12/29/2015,,123.1,83.3,,
12/29/2015,,122.7,83.5,,
12/29/2015,,123.8,83.7,,
12/29/2015,,123.7,83.8,,
12/29/2015,,124.4,83.8,,
12/29/2015,,124.6,84.1,,
12/29/2015,,124.4,84.1,,
12/29/2015,,125.1,84.2,,
12/29/2015,,125.3,84.2,,
12/29/2015,,125.3,84.4,,
12/29/2015,,125.7,84.4,,
12/29/2015,,125.7,84.4,,
12/29/2015,,125.5,84.5,,
12/29/2015,,125.4,84.6,,
12/29/2015,,125.2,84.7,,
12/29/2015,,124.9,84.7,,
12/28/2015,,123,84.6,,
12/28/2015,,124.4,84.6,,
12/28/2015,,121.4,84.2,,
12/28/2015,,121.3,84.4,,
12/28/2015,,123.6,84.8,,
12/28/2015,,124.4,84.7,,
12/28/2015,,124.4,85.2,,
12/28/2015,,126.1,85.4,,
12/28/2015,,123.9,85.6,,
12/28/2015,,123.9,85.2,,
12/28/2015,,123.8,85.4,,
12/28/2015,,124.2,85.4,,
12/28/2015,,125.6,85.4,,
12/28/2015,,124.4,85.4,,
12/28/2015,,124.8,86.2,,
12/28/2015,,124.4,85.8,,
12/28/2015,,126.2,85.8,,
12/28/2015,,128.2,86.1,,
12/28/2015,,125,81.8,,
12/28/2015,,127,85.7,,
12/28/2015,,126.4,85.8,,
12/28/2015,,124.6,86,,
12/28/2015,,124.8,85.8,,
12/28/2015,,122.5,85.8,,
12/27/2015,,123.3,85.4,,
12/27/2015,,122.2,85.5,,
12/27/2015,,123.4,85,,
12/27/2015,,123.1,84.6,,
12/27/2015,,121.4,83.8,,
12/27/2015,,123.4,85.1,,
12/27/2015,,123.3,85.3,,
12/27/2015,,120.5,85.4,,
12/27/2015,,116.2,85.8,,
12/27/2015,,121.1,85.9,,
12/27/2015,,122.2,86.2,,
12/27/2015,,121.2,86.2,,
12/27/2015,,123.5,86.5,,
12/27/2015,,123.4,86.5,,
12/27/2015,,122.9,86.2,,
12/27/2015,,120,86.5,,
12/27/2015,,122.7,86.4,,
12/27/2015,,122.9,86.4,,
12/27/2015,,123.7,86.4,,
12/27/2015,,123.7,86.8,,
12/27/2015,,124.9,86.8,,
12/27/2015,,124.7,86.6,,
12/27/2015,,125.3,87.1,,
12/27/2015,,125.3,86.8,,
12/26/2015,,125.1,86.9,,
12/26/2015,,124.8,86.2,,
12/26/2015,,124.4,86.4,,
12/26/2015,,123.9,86.4,,
12/26/2015,,124.5,86.6,,
12/26/2015,,125.4,87.2,,
12/26/2015,,123.7,87.6,,
12/26/2015,,126,88.2,,
12/26/2015,,124.9,88.4,,
12/26/2015,,125.9,88.4,,
12/26/2015,,126.5,87.9,,
12/26/2015,,126.5,88.2,,
12/26/2015,,126.9,88.2,,
12/26/2015,,126.7,88.9,,
12/26/2015,,127.3,89.1,,
12/26/2015,,127.7,90,,
12/26/2015,,127.7,89.7,,
12/26/2015,,126.9,89.2,,
12/26/2015,,127.1,89,,
12/26/2015,,127.1,89.9,,
12/26/2015,,126,89.8,,
12/26/2015,,126.4,90,,
12/26/2015,,126.3,89.7,,
12/26/2015,,126.6,89.4,,
12/25/2015,,126.7,89.7,,
12/25/2015,,125.7,89.3,,
12/25/2015,,123.3,88.3,,
12/25/2015,,129.1,89.6,,
12/25/2015,,129.1,90,,
12/25/2015,,129.3,90.4,,
12/25/2015,,129.8,90.8,,
12/25/2015,,129.8,91.2,,
12/25/2015,,130.5,90.7,,
12/25/2015,,131,91.1,,
12/25/2015,,130.3,91.6,,
12/25/2015,,130.2,92.4,,
12/25/2015,,131.4,92.4,,
12/25/2015,,131.9,92.2,,
12/25/2015,,132.4,92.6,,
12/25/2015,,132.8,92.9,,
12/25/2015,,132.9,93,,
12/25/2015,,133.7,93.6,,
12/25/2015,,133.8,93.7,,
12/25/2015,,134.1,93.6,,
12/25/2015,,134,94.3,,
12/25/2015,,134.1,94.4,,
12/25/2015,,133.8,94.6,,
